DISTRICT,FEDERAL_REGION,NUMBER_OF_POLLING__CENTRES,REGISTERED_VOTERS,YOWERI__KAGUTA_MUSEVENI,IS_MUSEVENI,NOT_MUSEVENI,VALID_VOTES,INVALID_VOTES,TURN_UP,NUMBER_OF_CANDIDATES,RURAL_OR_URBAN,YEAR_OF_ELECTION,OPPOSITION_SCORE_1,CULTURAL_REGION,Sentiment_Negative,Sentiment_Neutral,Sentiment_Positive
064 KALIRO,Busoga,132,"74,636",45209,1,"4,880","50,089","1,273","51,362",8,2,2011,1,1,0,0,1
065 KIRUHURA,Ankole,289,"147,052",113865,1,"7,262","121,127","1,829","122,956",8,2,2011,1,0,0,0,1
066 KOBOKO,West Nile,135,"74,838",19443,1,"16,767","36,210","2,309","38,519",8,2,2011,5,0,1,0,0
067 MANAFWA,Bugisu,299,"147,494",72885,1,"21,848","94,733","3,126","97,859",8,2,2011,3,0,0,0,1
068 MITYANA,Buganda,265,"146,376",56935,1,"28,660","85,595","3,584","89,179",8,2,2011,4,1,0,1,0
069 NAKASEKE,Buganda,187,"81,471",42959,1,"7,940","50,899","1,351","52,250",8,2,2011,2,1,0,0,1
070 ABIM,Karamoja,52,"26,251",16098,1,"1,609","17,707",552,"18,259",8,2,2011,1,0,0,0,1
071 AMURU,Acholi,109,"66,569",10470,0,"18,017","28,487","1,273","29,760",8,2,2011,6,0,1,0,0
072 BUDAKA,Bukedi,136,"76,346",36962,1,"12,196","49,158","2,420","51,578",8,2,2011,3,0,0,0,1
073 BULIISA,Bunyoro,72,"44,028",20741,1,"4,824","25,565","1,577","27,142",8,2,2011,2,1,0,0,1
074 DOKOLO,Lango,129,"61,667",23608,1,"16,410","40,018","1,972","41,990",8,2,2011,4,0,0,1,0
075 NAMUTUMBA,Busoga,139,"88,779",45747,1,"9,507","55,254","1,909","57,163",8,2,2011,2,1,0,0,1
076 OYAM,Lango,238,"127,457",41985,1,"27,611","69,596","2,809","72,405",8,2,2011,4,0,0,1,0
077 MARACHA,West Nile,125,"78,327",25072,1,"12,772","37,844","2,613","40,457",8,2,2011,4,0,0,1,0
078 BUDUDA,Bugisu,141,"64,063",30530,1,"8,098","38,628","1,463","40,091",8,2,2011,2,0,0,0,1
079 BUKEDEA,Teso,115,"66,311",28189,1,"13,622","41,811","2,945","44,756",8,1,2011,4,0,0,1,0
080 LYANTONDE,Buganda,78,"44,553",21694,1,"3,887","25,581","1,179","26,760",8,2,2011,2,1,0,0,1
081 AMUDAT,Karamoja,34,"21,039",6658,1,"3,474","10,132",230,"10,362",8,2,2011,4,0,0,1,0
082 BUIKWE,Buganda,328,"183,097",64752,1,"30,549","95,301","4,577","99,878",8,2,2011,4,1,0,1,0
083 BUYENDE,Busoga,171,"90,728",53761,1,"6,254","60,015","1,937","61,952",8,2,2011,1,1,0,0,1
084 KYEGEGWA,Toro,117,"76,921",47596,1,"4,779","52,375","1,522","53,897",8,2,2011,1,1,0,0,1
085 LAMWO,Acholi,121,"58,711",14735,1,"14,614","29,349","2,109","31,458",8,2,2011,5,0,1,0,0
086 OTUKE,Lango,57,"32,544",14566,1,"6,105","20,671",962,"21,633",8,2,2011,3,0,0,1,0
087 ZOMBO,West Nile,164,"83,907",34407,1,"13,578",47985,"3,178","51,163",8,2,2011,3,0,0,1,0
088 ALEBTONG,Lango,147,"81,486",24171,0,"25,590","49,761","2,641","52,402",8,2,2011,5,0,1,0,0
089 BULAMBULI,Bugisu,142,"60,436",33788,1,"8,046","41,834","1,294","43,128",8,1,2011,2,0,0,0,1
090 BUVUMA,Buganda,77,"26,037",7367,1,"3,270","10,637",443,"11,080",8,2,2011,3,1,0,1,0
091 GOMBA,Buganda,140,"63,840",29551,1,"8,450","38,001","2,057","40,058",8,2,2011,3,1,0,0,1
092 KIRYANDONGO,Bunyoro,151,"89,363",30829,1,"8,267","39,096","2,095","41,191",8,2,2011,3,1,0,0,1
093 KYANKWANZI,Buganda,147,"85,540",42276,1,"6,149","48,425","1,929","50,354",8,2,2011,2,1,0,0,1
094 LUUKA,Busoga,156,"87,410",39015,1,"8,904","47,919","1,907","49,826",8,2,2011,2,1,0,0,1
095 NAMAYINGO,Busoga,144,"77,199",36575,1,"10,112","46,687","2,046","48,733",8,2,2011,2,1,0,0,1
096 NTOROKO,Rwenzori,55,"30,884",13184,1,"2,268","15,452",796,"16,248",8,2,2011,2,1,0,0,1
097 SERERE,Teso,158,"94,168",24069,0,"34,929","58,998","3,812","62,810",8,2,2011,6,0,1,0,0
